source_id,user,rating,feedback_text,timestamp,app_version,channel

mock_whatsapp_5,Unknown,,"Support: The Zomato Gold coupon code is only valid on online payments.\n
Customer: It keeps saying 'Invalid Code' even when I select credit card checkout!",,,WhatsApp

mock_whatsapp_4,Unknown,,"Bot: Please upload a clear photo of the damaged packaging to proceed.\n
Customer: The gravy completely spilled inside the bag. It is a total mess.",,,WhatsApp

mock_whatsapp_3,Unknown,,"Delivery Partner: Ma'am your order is delayed due to heavy rain near Indiranagar.\n
Customer: It has been 90 minutes. The app tracking is completely frozen.",,,WhatsApp

mock_whatsapp_2,Unknown,,"Support: Hello, I am looking into your missing item refund request now.\n
Customer: The delivery guy forgot half my order! I want my money back instantly.",,,WhatsApp

mock_whatsapp_1,Unknown,,"Delivery: Sir I have reached your gate but guard is not letting me in.\n
Customer: The app is showing you are 2km away! Why is the GPS wrong?",,,WhatsApp

mock_whatsapp_4,Unknown,,"Bot: Please upload a clear photo of the damaged packaging to proceed.\n
Customer: The gravy completely spilled inside the bag. It is a total mess.",,,WhatsApp

mock_whatsapp_3,Unknown,,"Delivery Partner: Ma'am your order is delayed due to heavy rain near Indiranagar.\n
Customer: It has been 90 minutes. The app tracking is completely frozen.",,,WhatsApp

mock_whatsapp_2,Unknown,,"Support: Hello, I am looking into your missing item refund request now.\n
Customer: The delivery guy forgot half my order! I want my money back instantly.",,,WhatsApp

mock_whatsapp_1,Unknown,,"Delivery: Sir I have reached your gate but guard is not letting me in.\n
Customer: The app is showing you are 2km away! Why is the GPS wrong?",,,WhatsApp
